Function,Iterations,Concatenations,OPS,Error,JVM,Computer
String Buffer,100000,32,50.538,0.095,temurin-20.0.2,M2 Macbook Air
String Buffer,1000000,32,5.038,0.03,temurin-20.0.2,M2 Macbook Air
String Buffer,1,64,2665078.805,15276.291,temurin-20.0.2,M2 Macbook Air
String Buffer,10,64,267156.287,1168.677,temurin-20.0.2,M2 Macbook Air
String Buffer,100,64,26617.496,178.245,temurin-20.0.2,M2 Macbook Air
String Buffer,1000,64,2668.404,11.434,temurin-20.0.2,M2 Macbook Air
String Buffer,10000,64,266.435,0.592,temurin-20.0.2,M2 Macbook Air
String Buffer,100000,64,26.594,0.555,temurin-20.0.2,M2 Macbook Air
String Buffer,1000000,64,2.574,0.025,temurin-20.0.2,M2 Macbook Air
String Builder,1,1,58085721.25,63674440.67,temurin-20.0.2,M2 Macbook Air
String Builder,10,1,5392206.611,841699.486,temurin-20.0.2,M2 Macbook Air
String Builder,100,1,429056.422,791375.351,temurin-20.0.2,M2 Macbook Air
String Builder,1000,1,26609.151,97875.234,temurin-20.0.2,M2 Macbook Air
String Builder,10000,1,3588.037,11324.706,temurin-20.0.2,M2 Macbook Air
String Builder,100000,1,313.622,1072.51,temurin-20.0.2,M2 Macbook Air
String Builder,1000000,1,21.265,82.287,temurin-20.0.2,M2 Macbook Air
String Builder,1,2,42267063.67,86855232.36,temurin-20.0.2,M2 Macbook Air
String Builder,10,2,2691759.779,3077760.184,temurin-20.0.2,M2 Macbook Air
String Builder,100,2,149180.463,77983.902,temurin-20.0.2,M2 Macbook Air
String Builder,1000,2,38839.492,108794.958,temurin-20.0.2,M2 Macbook Air
String Builder,10000,2,4477.104,11125.696,temurin-20.0.2,M2 Macbook Air
String Builder,100000,2,305.56,1018.964,temurin-20.0.2,M2 Macbook Air
String Builder,1000000,2,11.679,4.507,temurin-20.0.2,M2 Macbook Air
String Builder,1,4,20101368.08,77743902.65,temurin-20.0.2,M2 Macbook Air
String Builder,10,4,1117610.41,245973.965,temurin-20.0.2,M2 Macbook Air
String Builder,100,4,190345.705,666955.556,temurin-20.0.2,M2 Macbook Air
String Builder,1000,4,19331.923,68708.045,temurin-20.0.2,M2 Macbook Air
String Builder,10000,4,3500.705,8090.795,temurin-20.0.2,M2 Macbook Air
String Builder,100000,4,344.73,3.422,temurin-20.0.2,M2 Macbook Air
String Builder,1000000,4,38.683,0.296,temurin-20.0.2,M2 Macbook Air
String Builder,1,8,18186701.13,2433604.471,temurin-20.0.2,M2 Macbook Air
String Builder,10,8,2967022.037,160977.031,temurin-20.0.2,M2 Macbook Air
String Builder,100,8,336215.688,1193.369,temurin-20.0.2,M2 Macbook Air
String Builder,1000,8,24972.095,1400.776,temurin-20.0.2,M2 Macbook Air
String Builder,10000,8,3155.342,74.071,temurin-20.0.2,M2 Macbook Air
String Builder,100000,8,313.198,9.962,temurin-20.0.2,M2 Macbook Air
String Builder,1000000,8,31.889,0.851,temurin-20.0.2,M2 Macbook Air
String Builder,1,16,21539750.29,51912.478,temurin-20.0.2,M2 Macbook Air
String Builder,10,16,2077407.783,3389.322,temurin-20.0.2,M2 Macbook Air
String Builder,100,16,212958.299,2542.749,temurin-20.0.2,M2 Macbook Air
String Builder,1000,16,21839.402,299.296,temurin-20.0.2,M2 Macbook Air
String Builder,10000,16,2125.917,22.618,temurin-20.0.2,M2 Macbook Air
String Builder,100000,16,217.232,0.934,temurin-20.0.2,M2 Macbook Air
String Builder,1000000,16,21.827,0.134,temurin-20.0.2,M2 Macbook Air
String Builder,1,32,12925322.79,54977.784,temurin-20.0.2,M2 Macbook Air
String Builder,10,32,1099208.049,1016266.966,temurin-20.0.2,M2 Macbook Air
String Builder,100,32,113227.913,100572.929,temurin-20.0.2,M2 Macbook Air
String Builder,1000,32,9675.781,12453.92,temurin-20.0.2,M2 Macbook Air
String Builder,10000,32,1249.649,590.665,temurin-20.0.2,M2 Macbook Air
String Builder,100000,32,97.963,84.339,temurin-20.0.2,M2 Macbook Air
String Builder,1000000,32,12.452,6.265,temurin-20.0.2,M2 Macbook Air
String Builder,1,64,3957128.098,637019.415,temurin-20.0.2,M2 Macbook Air
String Builder,10,64,396115.83,62411.66,temurin-20.0.2,M2 Macbook Air
String Builder,100,64,54090.265,2304.382,temurin-20.0.2,M2 Macbook Air
String Builder,1000,64,3797.91,168.799,temurin-20.0.2,M2 Macbook Air
String Builder,10000,64,372.569,38.026,temurin-20.0.2,M2 Macbook Air
String Builder,100000,64,37.786,4.162,temurin-20.0.2,M2 Macbook Air
String Builder,1000000,64,3.716,0.419,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1,1,302565384.9,4670407.804,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10,1,30426386.7,228258.33,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100,1,1192715.332,5325.132,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000,1,102701.757,325.483,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10000,1,9450.418,17.418,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100000,1,797.29,18.711,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000000,1,74.717,0.422,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1,2,98131786.7,3100987.845,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10,2,9153331.049,757398.433,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100,2,846737.459,55525.227,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000,2,71650.816,59021.578,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10000,2,7011.676,329.653,temurin-20.0.2,M2 Macbook Air
